,Randy Beuhler,Charles Wong,Corbett Gray,Martin Goldman-Kirst,Floyd Combs,Jed Dolbeer,Nathan Santo,Josh Ventura
Wins,3,6,6,4,2,1,2,4
Losses,4,1,1,3,5,6,5,3
Date,2014-06-14,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Jet,Mana Crypt,Mox Pearl,Time Vault,Mox Emerald,Mox Sapphire
2,Mana Vault,Force of Will,Demonic Tutor,Time Walk,Sol Ring,Tinker,Strip Mine,Mox Ruby
3,Timetwister,Library of Alexandria,Vampiric Tutor,"Jace, the Mind Sculptor",Dark Confidant,Grim Monolith,Crucible of Worlds,Mana Drain
4,Tolarian Academy,Spell Pierce,Imperial Seal,Mind Twist,Liliana of the Veil,Mystical Tutor,Wasteland,Snapcaster Mage
5,Ancient Tomb,Brainstorm,Painter's Servant,Thoughtseize,Council's Judgment,Trinket Mage,Windswept Heath,Vendilion Clique
6,Lotus Petal,Ponder,Dark Ritual,Duress,Inquisition of Kozilek,Enlightened Tutor,Savannah,Ancestral Vision
7,Mox Diamond,Mental Misstep,Dark Depths,Preordain,Stoneforge Mystic,Thirst for Knowledge,Survival of the Fittest,Counterspell
8,Voltaic Key,Daze,Chrome Mox,Remand,Umezawa's Jitte,Muddle the Mixture,Sylvan Library,Steel Sabotage
9,Wheel of Fortune,Noble Hierarch,Vampire Hexmage,Show and Tell,Bitterblossom,tezzeret the seeker,Birds of Paradise,True-Name Nemesis
10,Mox Opal,Misty Rainforest,Grindstone,Entomb,"Urborg, Tomb of Yawgmoth",Transmute Artifact,Rishadan Port,Delver of Secrets // Insectile Aberration
11,"Tezzeret, Agent of Bolas",Polluted Delta,Mesmeric Fiend,Scalding Tarn,Brain Maggot,Flooded Strand,Verdant Catacombs,Arid Mesa
12,Cranial Plating,Tropical Island,REANIMATE,Underground Sea,Tidehollow Sculler,Tundra,"Kataki, War's Wage",Volcanic Island
13,Arcbound Ravager,Null Rod,Griselbrand,Animate Dead,"Thalia, Guardian of Thraben",Isochron Scepter,Phyrexian Revoker,"THADA ADEL, ACQUISITOR"
14,Yawgmoth's Will,Wooded Foothills,Oona's Prowler,life // death,Aven Mindcensor,Negate,Leonin Relic-Warder,Phantasmal Image
15,Skullclamp,Spell Snare,Grim Tutor,Exhume,Leonin Arbiter,Sensei's Divining Top,Natural Order,Dack Fayden
