,"Vic7, 2016-07-22",,,,,,,
,Derek Payne,Nelson Salahub,Matt Freire,Noel Robin,PatPatPatPatPatPat,Kyle Yakiwchuk,Jer,Matt Grier
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
1,Black Lotus,Time Vault,Mox Sapphire,Ancestral Recall,Mox Jet,Mox Ruby,Mana Crypt,Sol Ring
2,Force of Will,Mox Emerald,Preordain,Demonic Tutor,Mana Vault,Time Walk,Tinker,Mox Pearl
3,Daze,Grim Monolith,Ponder,Vampiric Tutor,Underground Sea,Library of Alexandria,Spell Pierce,Mishra's Workshop
4,Scalding Tarn,Mana Drain,Tropical Island,Mystical Tutor,Polluted Delta,Snapcaster Mage,"Jace, the Mind sculptor",Tolarian Academy
5,Mental Misstep,Misty Rainforest,Wooded Foothills,Thoughtseize,Flooded Strand,Volcanic Island,Spell Snare,Strip Mine
6,Breeding Pool,Verdant Catacombs,Windswept Heath,Watery Grave,Steam Vents,Young Pyromancer,Flusterstorm,Wasteland
7,Serum Visions,Voltaic Key,Dispel,Entomb,Bloodstained Mire,Arid Mesa,Gitaxian Probe,Marsh Flats
8,Force Spike,Ancient Tomb,Inkmoth Nexus,Inquisition of Kozilek,Bribery,Splinter Twin,Misdirection,Mox Diamond
9,True-name Nemesis,Trinket Mage,Spellskite,Show and Tell,Wheel of Fortune,Counterspell,Vendilion Clique,Mox Opal
10,"Thada Adel, Acquisitor",Transmute Artifact,Mana Leak,Liliana of the Veil,Glimpse the Unthinkable,Brainstorm,Tundra,City of Traitors
11,Treasure Cruise,Lotus Petal,Crop Rotation,Negate,Hedron Crab,Miscalculation,Aven Mindcensor,Timetwister
12,Steel Sabotage,Dig Through Time,Pact of Negation,"Jace, Vryn's Prodigy",Archive Trap,Sensei's Divining Top,Prohibit,Dack Fayden
13,Disrupting Shoal,"Emrakul, the Aeons Torn",Null Rod,Duress,Vision Charm,Personal Tutor,Remand,Day's Undoing
14,Rishadan Port,Tezzeret the Seeker,Noble Hierarch,Delay,Tome Scour,Portent,Memory Lapse,Ethersworn Canonist
15,Fastbond,Channel,Gaea's Blessing,Hymn to Tourach,Shriekhorn,Cascade Bluffs,Umezawa's Jitte,Enlightened Tutor
16,Sylvan Library,Gaea's Cradle,Pendelhaven,Hurkyl's Recall,Startled Awake,Imperial Recruiter,Ancestral Vision,Trinisphere
17,Deprive,Yavimaya Coast,Blighted Agent,Griselbrand,Breaking/Entering,Goblin Guide,Maze of Ith,"Kataki, War's Wage"
18,Winter Orb,Dark Depths,Rancor,Buried Alive,Mesmeric Orb,Goblin Rabblemaster,Logic Knot,Tangle Wire
19,Annul,Thespian's Stage,Tectonic Edge,"Iona, Shield of Emeria",Dream Twist,Lightning Bolt,Karakas,Sphere of Resistance
20,Trygon Predator,Leyline of Sanctity,Glistener Elf,Pithing Needle,Increasing Confusion,Grim Lavamancer,Thing in the Ice,Thorn of Amethyst
21,Gush,Flooded Grove,Blight Mamba,Exhume,Visions of Beyond,Grafdigger's Cage,Spell Queller,Lodestone Golem
22,Hinterland Harbor,Birds of Paradise,Nature's Claim,Reanimate,"Jace, Memory Adept",Deceiver Exarch,Engineered Explosives,Containment Priest
23,Sleight of Hand,Cavern of Souls,Slaughter Pact,Mind Twist,"Ashiok, Nightmare Weaver",Pestermite,Aegis of the Gods,Boros Signet
24,Power Sink,Stoneforge Mystic,Ichorclaw Myr,Animate Dead,Mind Funeral,"Kiki-Jiki, Mirror Breaker",Spellstutter Sprite,Mind Stone
25,Horizon Canopy,Spreading Seas,Plague Myr,Terastodon,Mind Grind,Red Elemental Blast,Monastery Mentor,Pyroblast
26,Natural State,Reclamation Sage,Necropede,Repeal,Mind Sculpt,Sulfur Falls,Stony Silence,Batterskull
27,Stifle,Shadow of Doubt,Viridian Corrupter,Careful Study,Psychic Strike,Shattering Spree,Energy Flux,Talisman of Impulse
28,Phyrexian Revoker,Deathrite Shaman,Cystbearer,Frantic Search,Psychic Spiral,"Ulamog, the Infinite Gyre",Impulse,Talisman of Indulgence
29,Dismember,Scavenging Ooze,Rot Wolf,Toxic Deluge,Damnation,Smash to Smithereens,Gifts Ungiven,"Kozilek, Butcher of Truth"
30,Boomerang,Curfew,Berserk,Bazaar of BaghDAD,Relic of Progenitus,Muddle the Mixture,Elixir of Immortality,Pyroclasm
31,Cryptic Command,Primeval Titan,Invigorate,Inkwell Leviathan,Nihil Spellbomb,Counterbalance,Isochron Scepter,Council's Judgment
32,Delver of Secrets,Fabricate,Vines of Vastwood,Chancellor of the Annex,Leyline of the Void,Standstill,Orim's Chant,Swords to Plowshares
33,Quirion Dryad,Llanowar Elves,Groundswell,Life/Death,Sphinx's Tutelage,Looter Il-Kor,"Venser, Shaper Savant",Crucible of Worlds
34,Temporal Spring,Fyndhorn Elves,Might of Old Krosa,Chrome Mox,Reins of Power,Chain Lightning,Path to Exile,"Daretti, Scrap Savant"
35,Tarmogoyf,Natural Order,Simic Charm,Necromancy,Telemin Performance,Hellrider,Hallowed Fountain,Wildfire
36,The Tabernacle at Pendrell Vale,Kiora's Follower,Distortion Strike,Empyrial Archangel,Riddlekeeper,Firedrinker Satyr,Mystic Gate,Burning of Xinye
37,Krosan Grip,Seat of the Synod,Aerial Formation,Collective Brutality,Badlands,Gilded Drake,Submerge,Painter's Servant
38,Defense Grid,Tree of Tales,Mutagenic Growth,Countersquall,Wipe Away,Sulfuric Vortex,Geist of Saint Traft,Grindstone
39,Vapor Snag,Joraga Treespeaker,Giant Growth,Echoing Truth,Memory Erosion,Rune Snag,Mana Tithe,Faithless Looting
40,Fact or Fiction,Elvish Mystic,Seal of Strength,Merfolk Looter,Bojuka Bog,Gut Shot,Aether Vial,"Boseiju, Who Shelters All"
41,Arcane Denial,Coiling Oracle,Predator's Strike,Drowned Catacomb,Extract,Hero of Oxid Ridge,Into the Roil,Stranglehold
42,Disrupt,Craterhoof Behemoth,Ranger's Guile,Doom Blade,Languish,Stormblood Berserker,Mishra's Factory,Chaos Warp
43,Mutavault,"Ruric Thar, the Unbowed",Wild Defiance,"Elesh Norn, Grand Cenobite",Rakdos Charm,Stromkirk Noble,Moat,Eldrazi Obligator
44,Gemstone Mine,Insist,Phyrexian Digester,Opulent Palace,Ghost Quarter,Jilt,Celestial Colonnade,Plateau
45,Second Sunrise,Lurking Automaton,"Sigarda, Host of Herons",Ground Seal,Savage Knuckleblade,Electrickery,Forcefield,Balance
