,theRealpoBBpC,Mason,Stephen Hagan,DrPeepeepoopooMD,Talanthalos,CommonOpponent,sti,juchemz
Date,2022-06-03,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1eFcze8-fnNI14VPyrE3MfcwvNjoGTiSuYPjsQpRzgKI/edit#gid=0,,,Winner in finals,,,,
Wins,0,3,4,6,6,2,4,3
Losses,7,4,3,1,1,5,3,4
1,Black Lotus,Ancestral Recall,Time Walk,Mana Crypt,Mox Sapphire,Mox Jet,Mox Ruby,Mox Pearl
2,Demonic Tutor,"Ragavan, Nimble Pilferer",Snapcaster Mage,"Karn, the Great Creator",Hullbreacher,"Oko, Thief Of Crowns",Sol Ring,Mox Emerald
3,Yawgmoth's Will,"Lutri, the Spellchaser",Time Vault,Strip Mine,Mox Diamond,Force of Will,Tinker,"Teferi, Time Raveler"
4,Thassa's Oracle,Volcanic Island,Prismatic Vista,Stoneforge Mystic,Fastbond,Force of Negation,Urza's Saga,Brainstorm
5,Demonic Consultation,Tundra,Cavern of Souls,Mana vault,"Narset, Parter of Veils",Polluted Delta,Scalding Tarn,Misty Rainforest
6,Pact of Negation,"Thalia, Guardian of Thraben",Mana Drain,Thoughtseize,Wooded Foothills,Underground Sea,Dack Fayden,Flooded Strand
7,Sensei's Divining Top,Arid Mesa,Spell Pierce,Inquisition of kozilek,Wheel of Fortune,Tropical Island,Mental Misstep,Windswept Heath
8,Leyline of the Void,Plateau,Esper Sentinel,Balance,Bloodstained Mire,Vampiric Tutor,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Swords to Plowshares
9,Helm of Obedience,Gitaxian Probe,Thalia's Lieutenant,Mind Twist,Steam Vents,Counterspell,Preordain,Hallowed Fountain
10,Duress,Mana Confluence,Aether Vial,Skullclamp,Lion's Eye Diamond,Painter's Servant,Lightning Bolt,Birds of Paradise
11,Brain Freeze,City of Brass,Ethersworn Canonist,Chrome Mox,Breeding Pool,Miscast,Library of Alexandria,"Jace, the Mind Sculptor"
12,Lurrus of the Dream-Den,Sacred Foundry,Scheming Fence,"Dovin, Hand of Control",Faithless Looting,Serum Visions,Mystical Dispute,Skyclave Apparition
13,"Ashiok, Dream Render",Fireblast,Elite Spellbinder,Crucible of Worlds,Pyroblast,"Boseiju, Who Endures",Thieving Skydiver,Red Elemental Blast
14,Hydroblast,Grim Lavamancer,"Otawara, Soaring City",Opposition Agent,Bonecrusher Giant // Stomp,Lotus Petal,Abrade,Phyrexian Metamorph
15,Toxic Deluge,Eidolon of the Great Revel,Fateful Absence,Dauthi Voidwalker,Dark Depths,Grindstone,Brazen Borrower,Ponder
16,Gush,Bomat Courier,"Lavinia, Azorius Renegade",Monastery Mentor,Wasteland,Liliana Of the Veil,Consider,Noble Hierarch
17,Treasure Cruise,"Sokenzan, Crucible of Defiance",Meddling Mage,Dark Confidant,Punishing Fire,Verdant Catacombs,Ethereal Forager,Taiga
18,Gifts Ungiven,Dragon's Rage Channeler,Umezawa's Jitte,Ancient tomb,Prismari Command,Grief,Fury,Enlightened Tutor
19,Lim-Dul's Vault,Chain Lightning,Suppression Field,Marsh Flats,Grove of the Burnwillows,Opt,True-Name Nemesis,Prismatic Ending
20,Thought Erasure,Searing Blaze,Phantasmal Image,Thought-knot Seer,Timetwister,Bayou,Seasoned Pyromancer,Fabled Passage
21,Collective Brutality,Goblin Guide,Rest in Peace,Reality Smasher,Nature's Claim,Drown in the Loch,Expressive Iteration,Solitude
22,Flusterstorm,Goblin Rabblemaster,March of Otherworldly Light,Scrubland,Ketria Triome,Spell Snare,Fiery Islet,Blue Elemental Blast
23,Subtlety,Monastery Swiftspear,Champion of the Parish,Zuran Orb,Pyroclasm,Dig Through Time,Shelldock Isle,Sunbaked Canyon
24,Dark Ritual,"Laelia, The Blade Reforged",Sanctifier en-Vec,Tolarian Academy,Ramunap Excavator,Reflecting Pool,Spirebluff Canal,Raugrin Triome
25,Imperial Seal,Abbot of Keral Keep,Silent Clearing,Stonecoil Serpent,Crop Rotation,"Uro, Titan of Nature's Wrath",Shivan Reef,Savannah
26,Watery Grave,Den of the Bugbear,"Tomik, Distinguished Advokist",Portable Hole,Containment Construct,"Ashiok, Nightmare Weaver",Riverglide Pathway // Lavaglide Pathway,Deafening Silence
27,Cabal Ritual,Embereth Shieldbreaker,Mother of Runes,Pithing Needle,Thespian's Stage,Eternal Witness,Vendilion Clique,Deathrite Shaman
28,Hymn to Tourach,Smuggler's Copter,Unsettled Mariner,Ophiomancer,Courser of Kruphix,Night's Whisper,Dress Down,Needleverge Pathway // Pillarverge Pathway
29,Rain of Filth,Fiery Confluence,"Kytheon, Hero of Akros",Bitterblossom,Drop of Honey,Abrupt Decay,Blightsteel Colossus,Cragcrown Pathway // Timbercrown Pathway
30,Dark Petition,Boros Reckoner,Glowrider,"Davriel, Rogue Shadowmage",Field of the Dead,Assassin's Trophy,Mindbreak Trap,Jetmir's Garden
31,Bolas's Citadel,Smash to Smithereens,Hengegate Pathway // Mistgate Pathway,Kaldra Compleat,Questing Beast,Massacre,Blood Moon,Kitchen Finks
32,Chain of Vapor,Fable of the Mirror-Breaker,Malevolent Hermit // Benevolent Geist,Lion Sash,Veil of Summer,Misdirection,Soul-Guide Lantern,Knight of Autumn
33,Dispel,Cemetery Gatekeeper,Adarkar Wastes,Mycosynth Lattice,Phyrexian Revoker,Regrowth,Flame Slash,"Kiki-Jiki, Mirror Breaker"
34,Archmage's Charm,Rift Bolt,Tocatli Honor Guard,Damn,"Titania, Protector of Argoth",Engineered Explosives,Spikefield Hazard,Splinter Twin
35,Cryptic Command,Searing Blood,Kor Firewalker,"Urborg, Tomb of Yawgmoth",Life from the Loam,Standstill,Mana Leak,Karakas
36,Peek,Hellrider,Intrepid Adversary,Reanimate,Hedron Crab,Ancestral Vision,"Chandra, Torch of Defiance",Restoration Angel
37,Underground River,Hazoret the Fervent,Hopeful Initiate,Council's judgment,Ruin Crab,Academy Ruins,Seat of the Synod,Endurance
38,Lotus Bloom,Figure of Destiny,Chill,Godless Shrine,"Oboro, Palace in the Clouds",Creeping Tar Pit,Great Furnace,Deceiver Exarch
39,Arcane Denial,Burning-Tree Emissary,Strict Proctor,"Sorin, Vengeful bloodlord",Exploration,Overgrown Tomb,Magus of the Moon,"Omnath, Locus of Creation"
