,Tom,Bill,Garry,Andy,Georg,Cinderella,Haakon,Jonas
Wins,3,6,1,4,0,4,3,7
Losses,4,1,6,3,7,3,4,0
,Sol Ring,Ancestral Recall ,Black Lotus,Mox Sapphire,Time Vault,Time Walk,Mox Ruby,Mox Jet
,Tinker,"Jace, the Mind Sculptor",Demonic Tutor,Mana Drain,Mana Crypt,Library of Alexandria,Mox Emerald,Mox Pearl
,Blightsteel Colossus,Snapcaster Mage,Tendrils of Agony,Balance,Mana vault,Dack Fayden,Sneak Attack,Vampiric Tutor
,Skullclamp,Force of Will ,Lotus Petal,Mystical Tutor,Timetwister,Grim monolith,Griselbrand,Strip Mine
,Arcbound Ravager,Counterspell,Dark Ritual,Merchant Scroll,Painter’s Servant,"Jace, Vryn's Prodigy",Ancient Tomb,Thoughtseize
,Mishra's Workshop,Ponder,Duress,Null Rod,Tolarian Academy,Treasure Cruise,Wasteland,Mental Misstep
,Mox Opal,Swords to Plowshares ,Yawgmoth's Will,"Emrakul, the Aeons Torn",Mox Diamond,Spell Pierce,Gitaxian Probe,Flooded Strand
,"Karn, Scion of Urza",Preordain,Mind Twist,"Teferi, Hero of Dominaria",Negate,Remand,Woodfall Primus,Polluted Delta
,Umezawa's Jitte,Monastery Mentor ,Necropotence,Mystic Confluence,Fastbond,Scalding Tarn,Wooded Foothills,Marsh Flats
,Thoughtcast,Stony Silence,Grim Tutor,Enlightened Tutor,Isochron Scepter,Volcanic Island,Through the Breach,Imperial Seal
,Hangarback Walker,Flusterstorm,Hymn to Tourach,"Nahiri, The Harbinger",Hurkyl’s Recall,Misty Rainforest,Bloodstained Mire,Containment Priest
,Walking Ballista,Gush,Night's Whisper,Dig Through Time,City of Traitors,Mana Leak,Faitless Looting,Path to Exile
,Master of Etherium,Energy Flux,Cabal Ritual,Fact or Fiction,Defense Grid,Steam Vents,Seething Song,Inquisition of Kozilek
,Steel Overseer,Daze,Rain of Filth,Ensnaring Bridge,Pentad prism,Brainstorm,Taiga,Tundra
,Cranial Plating,Hallowed Fountain,Sign in Blood,Impulse,Intuition,Arid Mesa,Tropical Island,Deathrite Shaman
,"Sai, Master Thopterist",Cryptic Command,Chrome Mox,Trinisphere,Memory Jar,Vendilion Clique,Show and Tell,"Thalia, Guardian of Thraben"
,Foundry Inspector,Mindbreak Trap,Distress,Search For Azcanta,Voltaic Key,Splinter Twin,Oath of Druids,Unexpectedly Absent
,Chief of the Foundry,Spell Snare,Cruel Bargain,Force Spike,Transmute Artifact,Miscalculation,Forbidden Orchard,Windswept Heath
,Phyrexian Revoker,Fragmentize,Bubbling Muck,Stasis,Everflowing chalice,Serum Visions,Ancient Grudge,Arcane Denial
,Signal Pest,Dispel ,Lion's Eye Diamond,"Jace, Architect of Thought",Boomerang,True-Name Nemesis,Sensei's Divining Top,Glen Elendra Archmage
,Vault Skirge,Supreme Verdict ,Dismember,Memory Lapse,Regrowth,Fiery Confluence,Inferno Titan,Dark Confidant
,Inkmoth Nexus,Pestermite ,Yawgmoth's Bargain,Spell Queller,Carpet of Flowers,Red Elemental Blast,Pyroblast,Nimble Obstructionist
,Blinkmoth Nexus,Deceiver Exarch ,Infernal Contract,Power Sink,Channel,Reanimate,Ricochet Trap,Underground Sea
,Memnite,Sorcerous Spyglass,Unmask,Pithing Needle,Lodestone golem,"Iona, Shield of Emeria",Verdant Catacombs,"Kataki, War's Wage"
