,TexasRangerMTG,Tunalip,becurry,Mason,Stephen Hagan,Swifty2400,RagingLevine,katerberg
Date,2021-11-21,,,,,,,
Notes,https://discord.com/channels/648329034211786752/907052069700108319/912081215002132500,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral recall,Black Lotus,mox emerald,Mox Jet,Mana crypt,Mox Sapphire,Mox Ruby,Time Vault
2,Force of will,Time Walk,"Karn, The Great Creator",Thoughtseize,"Narset, Parter of Veils",Mox Pearl,Sol Ring,Tinker
3,Force of negation,Strip Mine,Fastbond,Vampiric tutor,"Teferi, Time Raveler",Spell Pierce,Mana Vault,Mana Drain
4,Snapcaster mage,"Ragavan, Nimble Pilferer",Misty Rainforest,Inquisition of Kozilek,Prismatic Vista,True-Name Nemesis,Grim Monolith,Hullbreacher
5,Counterspell,Scalding Tarn,Sylvan Library,Verdant Catacombs,Flooded Strand,Polluted Delta,Tolarian Academy,"Oko, Thief of Crowns"
6,Mystical tutor,Wooded Foothills,Marsh Flats,Bloodstained Mire,Arid Mesa,Windswept Heath,Ancient Tomb,Urza's Saga
7,"Jace, the mind sculptor",Wasteland,Questing Beast,Taiga,Ponder,Tropical Island,Mox Opal,"Urza, Lord High Artificer"
8,"Lutri, the spellchaser",Mental Misstep,Crucible of Worlds,Badlands,"Dovin, Hand of Control",Tundra,Mishra's Workshop,Preordain
9,Daze,Mox Diamond,Savannah,Gitaxian Probe,Prismatic Ending,Hallowed Fountain,Volcanic Island,Tezzeret the Seeker
10,Dack fayden,Steam Vents,"Nissa, Who shakes the world",Cavern of Souls,Balance,Green Sun's Zenith,"Emry, Lurker of the Loch",Chrome Mox
11,Brazen Borrower // Petty Theft,Lightning Bolt,Dryad of the Ilysian Grove,Leyline of the Void,Remand,Geist of Saint Traft,Lion's Eye Diamond,Mystical Dispute
12,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Chain Lightning,Swords to Plowshares,"Kiki-Jiki, Mirror Breaker",Enlightened Tutor,Dryad Arbor,Sensei's Divining Top,Mana Leak
13,Lose focus,Pyroblast,Oath of Nissa,Duress,Demonic Tutor,Circle of Protection: Red,Mystic Forge,Timetwister
14,Fiery islet,Dragon's Rage Channeler,Courser of Kruphix,Ignoble Hierarch,Underground Sea,Veil of Summer,Goblin Welder,Muddle the Mixture
15,Vendilion clique,Stomping Ground,Leyline of Sanctity,Aether Vial,Scrubland,Slippery Bogle,Metalworker,Miscalculation
16,Mystic sanctuary,Waterlogged Grove,Temple garden,Den of the Bugbear,"Ashiok, Nightmare Weaver",Rancor,Seat of the Synod,Shelldock Isle
17,Cryptic command,Expressive iteration,Destiny Spinner,Conspicuous Snoop,"Kataki, War's Wage",All That Glitters,Lodestone Golem,Darksteel Citadel
18,Riverglide Pathway // Lavaglide Pathway,Red Elemental Blast,Council's Judgment,Goblin Recruiter,Esper Sentinel,Ethereal Armor,Walking Ballista,"Karn, Scion of Urza"
19,Shivan reef,Back to Nature,Karakas,Skirk Prospector,Settle the Wreckage,Heroic Intervention,Transmute Artifact,Fabricate
20,Prismari command,"Chandra, Torch of Defiance","Sythis, Harvest's Hand",Reverent Silence,Null Rod,Teferi's Protection,Basalt Monolith,Trinket Mage
21,Memory lapse,Spirebluff Canal,Sanctum Weaver,Blood Crypt,Flusterstorm,Invisible Stalker,Inventors' Fair,Flooded Grove
22,Sweltering suns,"Laelia, the Blade Reforged",Serra's Sanctum,Goblin Matron,"Ashiok, Dream Render",Gladecover Scout,Yawgmoth's Will,Reshape
23,Whelming wave,Treasure Cruise,Exploration,Boggart Harbinger,Rest in Peace,Stony Silence,City of Traitors,Chromatic star
24,Dig through time,Goblin Rabblemaster,Mycosynth Lattice,Tin Street Hooligan,Tasha's Hideous Laughter,Silhana Ledgewalker,Auriok Salvagers,Tranquility
25,Fact or fiction,Wrenn and Six,Argothian Enchantress,Mogg War Marshal,Painter's Servant,Swan Song,Chromatic Sphere,Compost
26,"Baral, Chief of Compliance",Abrade,Sterling Grove,Frogtosser Banneret,Grindstone,Miscast,Goblin Engineer,Hydroblast
27,Memory deluge,Copperline Gorge,Ensnaring Bridge,Goblin Trashmaster,Hurkyl's Recall,Fragmentize,"Daretti, Scrap Savant",Dispel
28,"Rowan, Scholar of Sparks // Will, Scholar of Frost",Goblin Guide,Worship,Goblin Ringleader,Plague Engineer,Breeding Pool,Mana Confluence,Yavimaya Coast
29,Thieving skydiver,Phyrexian Revoker,Pithing Needle,"Muxus, Goblin Grandee",Chill,Authority of the Consuls,"Zirda, the Dawnwaker",Library of Alexandria
30,Isochron scepter,End the Festivities,"Katilda, Dawnhart Martyr // Katilda's Rising Dawn",Goblin Lackey,Abolish,Daybreak Coronet,City of Brass,Winter Orb
31,Ceremonious rejection,Collector Ouphe,Ghostly Prison,Sling-Gang Lieutenant,Engineered Explosives,Curious Obsession,Tormod's Crypt,Jwari Disruption // Jwari Ruins
32,Sulfur falls,Flame Slash,Monastery Mentor,Goblin Warchief,Propaganda,Gryff's Boon,Paradoxical Outcome,Carpet of Flowers
33,Manaform hellkite,Legion Warboss,Skyclave Apparition,Pashalik Mons,Negate,Spectral Flight,Great Furnace,Curfew
34,Pestermite,Maddening Hex,Zuran Orb,Ancient Grudge,Toxic Deluge,Hyena Umbra,Pentad Prism,Cephalid Coliseum
35,Splinter twin,Goblin Chainwhirler,Land Tax,Siege-gang commander,"Teferi, Hero of Dominaria",Path to Exile,Pact of Negation,Seedtime
36,Deceiver exarch,Cindervines,"Yavimaya, cradle of growth",Sunbaked Canyon,Moat,Favor of the Overbeing,"Ugin, the Ineffable",Douse
37,By force,Rampaging Ferocidon,Force of Vigor,Munitions Expert,Ancestral Vision,Staggering Insight,Expedition Map,Botanical Sanctum
38,Subtlety,Abbot of Keral Keep,Horizon Canopy,Auntie's Hovel,"Kaya, Orzhov Usurper",Ancestral Mask,Spire of Industry,Blightsteel Colossus
39,Annul,Energy Flux,"Heliod, Sun-Crowned","Krenko, Mob Boss",Aura Flux,Curiosity,Ancient Den,Tree of Tales
40,Young pyromancer,Flame Blitz,Setessan Champion,Rakdos Charm,Knowledge Pool,Spirit Mantle,Glimmervoid,Fade Away
41,Jace's defeat,Outland Liberator // Frenzied Trapbreaker,Druid class,Masked Vandal,watery grave,Skyblade's Boon,Echoing Truth,Ratchet Bomb
42,Spell snare,Eidolon of the Great Revel,Solitary Confinement,Murderous Redcap,Interplanar Beacon,Armadillo Cloak,Staff of Domination,Barkchannel Pathway // Tidechannel Pathway
43,"Thada Adel, Acquisitor",Bomat Courier,Worldly Tutor,"Grumgully, the Generous",Teferi's Puzzle Box,Reality Ripple,Blast Zone,Manifold Key
44,Relic of progenitus,Zurgo Bellstriker,Flickering ward,Cabal Therapy,Opposition Agent,Mortal Obstinacy,Retrofitter Foundry,Kiora's Follower
45,Brainstorm,Falkenrath Pit Fighter,Crop Rotation,Gempalm Incinerator,Liliana of the Veil,Sentinel's Eyes,Pyrite Spellbomb,Growth Spiral
46,Battle of wits,Harsh Mentor,Hall Of Heliod's generosity,Warren Weirding,Teferi's Tutelage,Eidolon of Countless Battles,Goblin Cannon,"Teferi, Master of Time"
