,Hyphen-ated,Ever,JasterRogue7,domhrv,RagingLevine,CommonOpponent,Swifty2400,masterplum
Date,2022-05-10,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1e2ZFslbtck1p3qr8bH1cs3HUavKH_IzR78jOf3sVd60/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Mox Sapphire,Black Lotus,Time Vault,Time Walk,Mox Jet,Mana Crypt,Sol Ring
2,Mana Drain,Force of Will,"Karn, the Great Creator",Urza's Saga,"Oko, Thief of Crowns",Mox Emerald,Mox Pearl,Mox Ruby
3,Force of Negation,Thoughtseize,"Ragavan, Nimble Pilferer",Demonic Tutor,Snapcaster Mage,Mox Diamond,Mox Opal,FastBond
4,"Narset, Parter of Veils",Hullbreacher,Ancient Tomb,Vampiric Tutor,Spell Pierce,Prismatic Vista,Mana Vault,Strip Mine
5,Mental Misstep,Counterspell,Inquisition of Kozilek,Tinker,Mystical Dispute,"Teferi, Time Raveler",Timetwister,"Boseiju, Who Endures"
6,Flooded Strand,Polluted Delta,Bloodstained Mire,Tolarian Academy,Tropical Island,Volcanic Island,"Urza, Lord High Artificer",Misty Rainforest
7,Scalding Tarn,Underground Sea,Badlands,Sensei's Divining Top,Windswept Heath,Wooded Foothills,Ponder,Veil of Summer
8,Steam Vents,Chrome Mox,Fury,Verdant Catacombs,Savannah,Arid Mesa,Tundra,Taiga
9,Library of Alexandria,Reanimate,Mind Twist,Grindstone,"Jace, the Mind Sculptor",Plateau,Grim Monolith,Pyroblast
10,Dack Fayden,Daze,"Laelia, the Blade Reforged",Thassa's Oracle,Flusterstorm,Noble Hierarch,"Emry, Lurker of the Loch",Red Elemental Blast
11,Vendilion Clique,Duress,"Kroxa, Titan of Death's Hunger",Imperial Seal,Swords to Plowshares,Birds of Paradise,Lion's Eye Diamond,Crucible of Worlds
12,Sacred Foundry,Brazen Borrower // Petty Theft,Opposition Agent,Marsh Flats,Hallowed Fountain,Temple Garden,Auriok Salvagers,Dark Depths
13,Stoneforge Mystic,Grief,"Ashiok, Dream Render","Tezzeret, Agent of Bolas",Preordain,Enlightened Tutor,Thopter Foundry,Karakas
14,Gitaxian Probe,Watery Grave,"Ob Nixilis, the Adversary",Ledger Shredder,True-Name Nemesis,Lightning Bolt,Sword of the Meek,Collector Ouphe
15,Walking Ballista,Dauthi Voidwalker,"Chandra, Torch of Defiance","Otawara, Soaring City","Nissa, Who Shakes the World",Stomping Ground,Monastery Mentor,Ramunap Excavator
16,Chain Lightning,Wasteland,Dragon's Rage Channeler,Baleful Strix,Prismatic Ending,Fateful Absence,Lotus Petal,Sylvan Library
17,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Entomb,Unearth,Soul-Guide Lantern,Null Rod,"Uro, Titan of Nature's Wrath",Relic of Progenitus,Once Upon A Time
18,Phyrexian Revoker,Suspicious Stowaway,Seasoned Pyromancer,Brainstorm,Mana Leak,"Kiki-Jiki, Mirror Breaker",Pentad Prism,Zuran Orb
19,Dig Through Time,Arcane Denial,Unholy Heat,"Lutri, the Spellchaser","Dovin, Hand of Control",Ignoble Hierarch,"Sai, Master Thopterist",Wrenn and Six
20,Mystical Tutor,Archon of Cruelty,Shenanigans,Urza's Bauble,Nature's Claim,Saheeli Rai,Mishra's Bauble,Faithless Looting
21,Path to Exile,Creeping Tar Pit,Pithing Needle,"Saheeli, Sublime Artificer",Waterlogged Grove,Skyclave Apparition,Chromatic Star,Abrade
22,Blue Elemental Blast,Hydroblast,Toxic Deluge,Engineered Explosives,Miscalculation,Reflecting Pool,Chromatic Sphere,Thespian's Stage
23,Miscast,An Offer You Can't Refuse,Goblin Rabblemaster,Lose Focus,Breeding Pool,City of Brass,Paradoxical Outcome,Scavenging Ooze
24,Fiery Islet,Flash,Liquimetal Coating,Shelldock Isle,Exploration,Mana Confluence,Defense Grid,Karplusan Forest
25,Sunbaked Canyon,Baleful Mastery,Sulfurous Springs,Darkslick Shores,Negate,Gemstone Mine,Hope of Ghirapur,Grove of the BurnWillows
26,Remand,Woodfall Primus,Mycosynth Lattice,Metallic Rebuke,Ceremonious Rejection,Imperial Recruiter,Mox Amber,Wheel of Fortune
