,Brendan,Mac,Preston,Dan,Adam,Peter,Maurice,Alex
Wins,2,5,0,5,5,2,4,5
Losses,5,2,7,2,2,5,3,2
Date,2016-06-26,,,,,,,
Notes,Snake Draft Vintage - From Discord TheKniphoon,,,,,,,
1,Mox Emerald,Mana Crypt,Mox Ruby,Mox Jet,Mox Sapphire,Yawgmoth's Will,Black Lotus,Ancestral Recall
2,Tinker,Time Vault,Time Walk,Demonic Tutor,Sol Ring,Library of Alexandria,Mox Pearl,"Jace, the Mind Sculptor"
3,Force of Will,Mana Vault,Vampiric Tutor,Imperial Seal,Strip Mine,Dark Petition,Spell Pierce,Mana Drain
4,Snapcaster Mage,Grim Monolith,Mystical Tutor,Ponder,Mishra's Workshop,Dark Ritual,Thoughtseize,"Jace, Vryn's Prodigy"
5,Mental Misstep,Tolarian Academy,Brainstorm,Preordain,Lodestone Golem,Lion's Eye Diamond,Mox Diamond,Vendilion Clique
6,True-Name Nemesis,Painter's Servant,Polluted Delta,Dark Confidant,Chalice of the Void,Duress,Scalding Tarn,Entomb
7,Daze,Enlightened Tutor,Counterspell,Dark Depths,Wasteland,Wheel of Fortune,Griselbrand,Misty Rainforest
8,Ancestral Vision,Voltaic Key,Mana Leak,Show and Tell,Crucible of Worlds,Basalt Monolith,Mind Twist,Flusterstorm
9,Sensei's Divining Top,Trinket Mage,Serum Visions,Inquisition of Kozilek,Fastbond,Chrome Mox,Hymn to Tourach,Ancient Tomb
10,Spell Snare,Lotus Petal,Flooded Strand,Underground Sea,Trinisphere,Grim Tutor,Bloodstained Mire,Noble Hierarch
11,Treasure Cruise,Tundra,Volcanic Island,Liliana of the Veil,Thorn of Amethyst,Badlands,Marsh Flats,Tropical Island
12,Blightsteel Colossus,Stoneforge Mystic,Wooded Foothills,Watery Grave,Phyrexian Metamorph,Cabal Therapy,Steam Vents,Verdant Catacombs
13,Phantasmal Image,Muddle the Mixture,Arid Mesa,Mesmeric Fiend,Coalition Relic,Young Pyromancer,Dack Fayden,Breeding Pool
14,Dismember,Transmute Artifact,Splinter Twin,"Emrakul, the Aeons Torn",Kuldotha Forgemaster,Faithless Looting,Negate,Windswept Heath
15,Gitaxian Probe,Tezzeret the Seeker,Miscalculation,Memory Lapse,Metalworker,Past in Flames,Hallowed Fountain,Sylvan Library
16,Steel Sabotage,Seat of the Synod,Blood Crypt,Reanimate,Winter Orb,Night's Whisper,Sunken Hollow,Terastodon
17,Cunning Wish,Batterskull,Remand,"Iona, Shield of Emeria",Mind Stone,Rakdos Signet,Fact or Fiction,Glen Elendra Archmage
18,Gush,Grindstone,Frantic Search,Exhume,Simic Signet,Necropotence,Dig Through Time,Natural Order
19,Overwhelming Denial,Thirst for Knowledge,Pestermite,Lim-Dul's Vault,Steel Hellkite,Tendrils of Agony,Bribery,Green Sun's Zenith
20,Cryptic Command,Academy Ruins,Merfolk Looter,Pack Rat,Thran Dynamo,Cabal Ritual,Impulse,Birds of Paradise
21,Spellskite,Mox Opal,Worldly Tutor,Null Rod,Platinum Angel,Yawgmoth's Bargain,Monastery Mentor,Gaea's Cradle
22,Relic of Progenitus,Myr Battlesphere,Goblin Rabblemaster,Thespian's Stage,"Daretti, Scrap Savant",Seething Song,Condescend,"Edric, Spymaster of Trest"
23,Pact of Negation,Swords to Plowshares,Deprive,Vampire Hexmage,Darksteel Colossus,Temple of Malice,Plateau,Fauna Shaman
24,Disrupt,Wurmcoil Engine,Geist of Saint Traft,Careful Study,Gruul Signet,Simian Spirit Guide,Path to Exile,Craterhoof Behemoth
25,Annul,Lightning Greaves,Swan Song,Murderous Cut,Duplicant,Rain of Filth,Pyroblast,Painful Truths
26,Delver of Secrets,Balance,Red Elemental Blast,"Urborg, Tomb of Yawgmoth",Sundering Titan,Defense Grid,Force Spike,Abrupt Decay
27,Stifle,City of Brass,Intuition,Dispel,Great Furnace,Manamorphose,Anticipate,Trygon Predator
28,Pithing Needle,Mana Confluence,Chromatic Lantern,Thought Scour,Tree of Tales,Grapeshot,Transgress the Mind,"Venser, Shaper Savant"
29,Engineered Explosives,Ancient Den,Crop Rotation,Brain Maggot,Fellwar Stone,Lightning Bolt,Mystic Confluence,Bane of Progress
30,Counterbalance,Glimmervoid,Gamble,Animate Dead,Etched Champion,Golgari Signet,Dimir Signet,"Rofellos, Llanowar Emissary"
31,Foil,"Tezzeret, Agent of Bolas",Gemstone Mine,Hurkyl's Recall,The Tabernacle at Pendrell Vale,Distress,Peer Through Depths,Opposition
32,Mindbreak Trap,Energy Flux,Glacial Chasm,Darkslick Shores,Platinum Emperion,Tormenting Voice,Hallowed Moonlight,Bitterblossom
33,Rune Snag,Oblivion Ring,Chain of Vapor,River of Tears,Cavern of Souls,Dragonskull Summit,Containment Priest,Garruk Wildspeaker
34,Horribly Awry,Grafdigger's Cage,Prairie Stream,"Ashiok, Nightmare Weaver",Darksteel Citadel,Wrench Mind,Disenchant,Nature's Claim
35,Prohibit,Scrubland,Devastation Tide,Toxic Deluge,Tangle Wire,Plunge into Darkness,Fiery Confluence,Kiora's Follower
36,Vedalken Shackles,Orim's Chant,"Kiki-Jiki, Mirror Breaker",Putrid Imp,City of Traitors,Magus of the Wheel,Bayou,Overgrown Tomb
37,Cyclonic Rift,Seachrome Coast,Secure the Wastes,Arcane Laboratory,Hangarback Walker,Smoldering Marsh,Taiga,Eternal Witness
38,Into the Roil,Ethersworn Canonist,Regrowth,Unmask,Smokestack,Phyrexian Arena,"Kataki, War's Wage",Chord of Calling
39,Rebuild,Dragonlord Dromoka,Izzet Charm,"Elesh Norn, Grand Cenobite",Zuran Orb,Shattering Spree,Kolaghan's Command,Arbor Elf
40,Shelldock Isle,Savannah,Temple Garden,Sire of Insanity,Coercive Portal,Molten Slagheap,"Jori En, Ruin Diver","Minamo, School at Water's Edge"
41,Isochron Scepter,Vindicate,Bounding Krasis,Underground River,Sculpting Steel,Chain Lightning,Karn Liberated,Joraga Treespeaker
42,Commandeer,"Thada Adel, Acquisitor",Deceiver Exarch,Temple of Deceit,Torpor Orb,Lava Spike,Rise from the Tides,Dryad Arbor
43,Sower of Temptation,Adarkar Wastes,Rescind,Creeping Tar Pit,Tormod's Crypt,Rift Bolt,Jeskai Ascendancy,"Thrun, the Last Troll"
44,"Teferi, Mage of Zhalfir",Fabricate,Cascade Bluffs,Sunken Ruins,Darksteel Juggernaut,Fireblast,Sprout Swarm,Fyndhorn Elves
45,Willbender,Sword of Fire and Ice,Noxious Revival,Drowned Catacomb,Galvanic Key,Pyromancer's Swath,Bad River,Llanowar Elves
