,Tay,Ben,Mike,DJ,Austen,Leigh,Cam,Nathan
Wins,5,4,0,5,4,5,2,3
Losses,2,3,7,2,3,2,5,4
Date,2015-01-01,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Time Vault,Sol Ring,Mana Crypt,Mox Ruby,Mox Jet
2,Entomb,Time Walk,Mana Drain,Voltaic Key,Tinker,Mana Vault,Mox Pearl,Mox Emerald
3,Vampiric Tutor,Mental Misstep,Library of Alexandria,Demonic Tutor,Show and Tell,Tolarian Academy,Strip Mine,Channel
4,Thoughtseize,Lotus Petal,Mystical Tutor,Imperial Seal,Force of Will,Mox Diamond,Goblin Lackey,Fastbond
5,Duress,Noble Hierarch,Yawgmoth's Will,Underground Sea,Sensei's Divining Top,Umezawa's Jitte,Goblin Piledriver,Crucible of Worlds
6,Dark Depths,Tropical IslAnd,Grim Tutor,Mind Twist,Spell Pierce,Tezzeret the Seeker,Skullclamp,Inquisition of Kozilek
7,Dark Ritual,Crop Rotation,Cabal Ritual,"Tezzeret, Agent of Bolas",Daze,Grim Monolith,Aether Vial,Painter's Servant
8,Dark Confidant,Gitaxian Probe,Tendrils of Agony,Transmute Artifact,Ponder,Mishra's Workshop,Goblin Warchief,Grindstone
9,Hymn to Tourach,Wasteland,Memory Jar,Mox Opal,Brainstorm,"Jace, The Mind Sculptor",Lightning Bolt,"Emrakul, the Aeons Torn"
10,Liliana of the Veil,Dryad Arbor,Lion's Eye Diamond,City of Traitors,Preordain,True-Name Nemesis,Chain Lightning,Ghost Quarter
11,Thespian's Stage,Green Sun's Zenith,Ancestral Vision,Thirst for knowledge,Scalding Tarn,Flash,Fireblast,Oath of Druids
12,Null Rod,Berserk,Timetwister,Ancient Tomb,Flusterstorm,Wurmcoil Engine,Goblin Matron,Griselbrand
13,Bitterblossom,Pendelhaven,Polluted Delta,Thopter Foundry,Dig Through Time,Wheel of Fortune,Goblin Ringleader,Frantic Search
14,Cabal therapy,Karakas,Bloodstained mire,Watery Grave,Spell Snare,Karn Liberated,Goblin Recruiter,Zuran Orb
15,Pithing Needle,Misty Rainforest,Windfall,Sword of the meek,Dispel,Lodestone Golem,Cavern of Souls,Verdant Catacombs
16,Rishadan Port,Inkmoth Nexus,Coalition Relic,Chalice of the Void,Blightsteel Colossus,Chrome Mox,Siege-Gang Commander,Breeding Pool
17,"Urborg, Tomb of Yawgmoth",Glistener Elf,Gush,Engineered Explosives,Treasure Cruise,Bribery,Goblin Chieftain,Enlightened Tutor
18,Grafdigger's Cage,Vines Of Vastwood,Sleight of Hand,Damnation,Flooded Strand,Dack Fayden,Mogg War Marshal,Guttural Response
19,Sinkhole,Blighted Agent,Volcanic Island,Relic of Progenitus,Personal Tutor,"Jace, Memory Adept",Goblin Guide,Balance
