,B.R.,S.M.,E.B.,S.J.,Z.C.,J.M.,Hyphen-ated,C.A.
Date,2019-11-09,,,,,,,
Wins,5,2,2,2,2,3,7,2
Losses,2,4,4,2,5,3,0,4
1,Black Lotus,Ancestral Recall,Sol Ring,Mox Sapphire,mox ruby,Time Walk,Mana Crypt,Mox Jet
2,Time Vault,Grim Monolith,Mishra's Workshop,Demonic Tutor,brainstorm,Fastbond,Mox Pearl,Mox Emerald
3,Tinker,"Jace, The Mind Sculptor",Mana Vault,"Narset, Parter of Veils",ponder,Snapcaster Mage,"Karn, the Great Creator",Vampiric Tutor
4,Tezzeret the Seeker,Polluted Delta,Metalworker,Timetwister,preordain,Strip Mine,Mana Drain,Mox Diamond
5,Force of Will,Flooded Strand,Ancient Tomb,Misty Rainforest,scalding tarn,Prismatic Vista,True-Name Nemesis,Crucible of Worlds
6,Blightsteel Colossus,"Teferi, Time Raveler",Academy Ruins,Verdant Catacombs,Bloodstained mire,Library of Alexandria,Spell Pierce,Dark Depths
7,Voltaic Key,Underground Sea,Sundering Titan,Tropical Island,volcanic island,Wasteland,Channel,Wooded Foothills
8,Sensei's Divining Top,Bribery,Mindslaver,Counterspell,Gitaxian probe,Noble Hierarch,Breeding Pool,Thespian's Stage
9,Force of Negation,Azorius Signet,Smokestack,Liliana of the Veil,Null Rod,Sylvan Library,Windswept Heath,Crop Rotation
10,Mystical Tutor,"Ashiok, Nightmare Weaver",Tolarian Academy,Watery Grave,arid mesa,Ramunap Excavator,Birds of Paradise,Thoughtseize
11,Mox Opal,Tundra,Lodestone Golem,Bayou,Fiery islet,Waterlogged Grove,Basalt Monolith,Wrenn and Six
12,Everflowing chalice,"Ashiok, Dream Render",Phyrexian Metamorph,"Leovold, Emissary of Trest",steam vents,"Azusa, Lost But Seeking",Vendilion Clique,Elvish Reclaimer
13,Muddle the Mixture,Jace Beleren,Tangle Wire,Hymn to Tourach,Spirebluff canal,Lotus Cobra,Lion's Eye Diamond,Sylvan Scrying
14,"Karn, Scion of Urza","Teferi, Hero of Dominaria",Upheaval,Dig through time,"Kiki-Jiki, Mirror Breaker",Enlightened Tutor,Karn Liberated,Exploration
15,Chrome Mox,Dovin's Veto,City of Traitors,Mulldrifter,Pestermite,Worldly Tutor,Miscalculation,Life From the Loam
16,Mental Misstep,Gideon of the Trials,Gilded Lotus,"Oko, Thief of Crowns",Splinter twin,Compulsive Research,Mana Leak,Blast Zone
17,Transmute Artifact,Detention Sphere,Trinisphere,Overgrown Tomb,Deceiver Exarch,Tireless Tracker,Memory Lapse,Assassin's Trophy
18,Swan Song,Consecrated Sphinx,Sphere of Resistance,Painter's Servant,Sulfuric Vortex,Boomerang,Negate,Nurturing Peatland
19,Lotus Petal,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Thorn of Amethyst,Grindstone,Goblin guide,Mystic Sanctuary,Mycosynth Lattice,Dismember
20,Imperial Seal,Gideon Jura,Winter Orb,Remand,Light up the stage,Tolaria West,Fact or Fiction,Duress
21,Personal Tutor,Silent Clearing,Chalice of the Void,Sinkhole,Lightning bolt,Zuran Orb,Cyclonic Rift,Abrupt Decay
22,Reconstruction,Flusterstorm,Walking Ballista,Beast Within,Wheel of Fortune,Meloku the Clouded Mirror,Hexdrinker,Gamble
23,Inquisition of Kozilek,Blind Obedience,Hangarback Walker,Helm of Obedience,Monastery Swiftspear,Simic Growth Chamber,Flooded Grove,Pithing Needle
24,Mind Twist,Fellwar Stone,Myr Battlesphere,Leyline of the Void,Magma Jet,Soulfire Grand Master,Yavimaya Coast,Sorcerous Spyglass
25,Hurkyl's Recall,Time Warp,Mind Stone,Llanowar Wastes,chain lightning,"Tatyova, Benthic Druid",Once Upon a Time,Ghost Quarter
26,Underground River,Narset Transcendent,Prismatic Lens,Putrefy,lava spike,Capture of Jingzhou,Impulse,Field of the Dead
27,Sunken Ruins,Moat,Phyrexian Revoker,Murderous Rider // Swift End,sunbaked Canyon,Fabled Passage,Hinterland Harbor,Badlands
28,Seat of the Synod,Supreme Verdict,Wurmcoil Engine,Maelstrom Pulse,Young Pyromancer,Wipe Away,Veil of Summer,Grove of the Burnwillows
29,Vault of Whispers,"Dovin, Hand of Control",Izzet Signet,Notion Thief,Bonecrusher Giant // Stomp,Nature's Claim,Brazen Borrower // Petty Theft,Vesuva
30,Reshape,Countersquall,Simic Signet,Supreme Will,Fiery Confluence,Cryptic Command,Return to Nature,"Golos, Tireless Pilgrim"
31,Voltaic Servant,Hallowed Fountain,Karakas,dictate of kruphix,smash to smithereens,Regrowth,Mystical Dispute,Bojuka Bog
32,River of Tears,Chain of Vapor,All is Dust,howling mine,Harsh Mentor,Steel Sabotage,Talisman of Curiosity,Force of Vigor
33,Whir of Invention,"Gideon, Ally of Zendikar",Faerie Conclave,Damnation,tarfire,Temporal Spring,Energy Flux,Oath of Druids
34,Void Snare,Stony Silence,Stroke of Genius,Blue Elemental Blast,fireblast,Lazotep Plating,Hydroblast,"Emrakul, The Aeons Torn"
35,Dispel,Solitary Confinement,Defense Grid,Noxious Revival,shock,Nature's Chant,Mystic Confluence,Vampire Hexmage
36,City of Brass,Bitterblossom,Treachery,Time Spiral,Crash,"Oboro, Palace in the Clouds",Wake Thrasher,Buried Ruin
37,Mana Confluence,Gainsay,Pact of Negation,Surgical Extraction,Blood moon,Dragonlord Dromoka,Questing Beast,Cabal Coffers
38,Daze,Annul,Precursor Golem,Collector Ouphe,burst lightning,Grazing Gladehart,Chill,"Urborg, Tomb of Yawgmoth"
39,Perilous Voyage,"Jace, Memory Adept",Sculpting Steel,Hero's Downfall,Faithless looting,Horn of Greed,Gilded Goose,Forbidden Orchard
40,Merchant Scroll,Temporal Mastery,Goblin Welder,Glen Elendra Archmage,Guttersnipe,Absolute Law,Flash Flood,Manabond
41,Argivian Find,Vindicate,Arcbound Ravager,Serum Visions,Legion Warboss,Aegis of the Gods,Creeping Corrosion,Courser of Kruphix
42,Lim-Dûl's Vault,Celestial Colonnade,Uncle Istvan,Creeping Tar Pit,goblin cratermaker,Eternal Witness,Unravel the Aether,Oracle of Mul Daya
43,Manifold Key,"Aminatou, the Fateshifter","Squee, Goblin Nabob",nemesis of reason,Risk Factor,Seeds of Innocence,Aether Spellbomb,Molten Vortex
44,Yawgmoth's Will,Terminus,Goblin Game,Fallen Shinobi,storm crow,Autumn's Veil,"Venser, Shaper Savant",Punishing Fire
