,Dan,Alex,Kelvin,Peter,Greg,Mac,Bobby,Jay
Wins,5,5,3,3,3,5,0,4
Losses,2,2,4,4,4,2,7,3
Date,2021-03-19,,,,,,,
Notes,"""First"" Draft Vintage - From Discord TheKniphoon",,,,,,,
1,Mox Emerald,Mox Jet,Time Walk,Sol Ring,Mox Sapphire,Time Vault,Ancestral Recall,Black Lotus
2,Mox Pearl,Mox Ruby,"Oko, Thief of Crowns",Mana Crypt,Tinker,Demonic Tutor,Force of Will,Vampiric Tutor
3,Strip Mine,Thoughtseize,Spellseeker,Timetwister,Mana Drain,Mana Vault,Tropical Island,Library of Alexandria
4,Dark Confidant,Snapcaster Mage,Misty Rainforest,Fastbond,Grim Monolith,"Karn, the Great Creator",Scalding Tarn,"Narset, Parter of Veils"
5,Inquisition of Kozilek,Polluted Delta,Tundra,Flooded Strand,Mox Diamond,Marsh Flats,Volcanic Island,"Jace, the Mind Sculptor"
6,Verdant Catacombs,Spell Pierce,Breeding Pool,Windswept Heath,Bloodstained Mire,Ancient Tomb,Wooded Foothills,Force of Negation
7,Arid Mesa,Underground Sea,Prismatic Vista,Ketria Triome,Mishra's Workshop,Tolarian Academy,Mana Confluence,Null Rod
8,Duress,Counterspell,Savannah,Temple Garden,Steam Vents,Imperial Seal,Cavern of Souls,Ponder
9,Wasteland,Hullbreacher,Eternal Witness,"Teferi, Time Raveler",Lodestone Golem,Manifold Key,City of Brass,Mystical Dispute
10,"Thalia, Guardian of Thraben",Brainstorm,Noble Hierarch,Hallowed Fountain,Watery Grave,Mind Twist,Aether Vial,Preordain
11,Stoneforge Mystic,Hymn to Tourach,Veil of Summer,Fractured Identity,Sensei's Divining Top,Entomb,Waterlogged Grove,Mental Misstep
12,Silent Clearing,"Lutri, the Spellchaser",Mystical Tutor,Remand,"Urza, Lord High Artificer",Badlands,Mutavault,"Jace, Vryn's Prodigy"
13,Swords to Plowshares,Mana Leak,Intuition,Miscalculation,Mox Opal,"Karn, Scion of Urza",Lotus Petal,Vendilion Clique
14,Phyrexian Revoker,Brazen Borrower,Skyclave Apparition,Serum Visions,Trinisphere,Voltaic Key,Gemstone Mine,Dig Through Time
15,Mother of Runes,Spell Snare,Palace Jailer,Time Spiral,Mystic Forge,Dark Ritual,Sliver Hive,Merchant Scroll
16,Collector Ouphe,Liliana of the Veil,Birds of Paradise,Gitaxian Probe,Balance,Griselbrand,Manaweft Sliver,Muddle the Mixture
17,Sylvan Library,Memory Lapse,Green Sun's Zenith,Frantic Search,Scrubland,Vault of Whispers,Harmonic Sliver,Dack Fayden
18,Godless Shrine,Baleful Strix,Karakas,Brain Freeze,Personal Tutor,Reanimate,Gemhide Sliver,Underworld Breach
