,DJ 3-4 6th,Morse 6-1 1st,Cam 0-7 8th,Ben 5-2 3rd,Fil 3-4 5th,Nathan 4-3 4th,Leigh 2-5 7th,Austen 5-2 2nd
Wins,3,6,0,5,3,4,2,5
Losses,4,1,7,2,4,3,5,2
Date,2014-12-20,,,,,,,
1,Black Lotus,Ancestral Recall,Sol Ring,Mox Sapphire,Mox Pearl,Mox Jet,Mana Vault,Mox Ruby
2,Yawgmoth's Will,Library of Alexandria,Fastbond,Time Walk,Balance,Time Vault,Mana Crypt,Mox Emerald
3,Demonic Tutor,Force of Will,Enlightened Tutor,Strip Mine,Stony Silence,Thoughtseize,Bazaar of Baghdad,Timetwister
4,Lotus Petal,Mana Drain,Sterling Grove,Snapcaster Mage,Leyline of Sanctity,Mental Misstep,Voltaic Key,Deathrite Shaman
5,Vampiric Tutor,"Jace, the Mind Sculptor",Land Tax,Spell Pierce,Rest in Peace,Tinker,Karn Liberated,Gaea's Cradle
6,Dark Ritual,Tarmogoyf,Argothian Enchantress,Trinket Mage,Serra's Sanctum,Sensei's Divining Top,Treasure Cruise,Crop Rotation
7,Necropotence,Vendilion Clique,Enchantress's Presence,Gitaxian Probe,Sigil of the Empty Throne,Brainstorm,"Jace, Memory Adept",Natural Order
8,Duress,Noble Hierarch,Replenish,Phyrexian Revoker,Opalescence,Young Pyromancer,"Ashiok, Nightmare Weaver",Tropical Island
9,Cabal Therapy,True-Name Nemesis,Sacred Mesa,Tundra,Earthcraft,Dark Confidant,Liliana of the Veil,Green Sun's Zenith
10,The Tabernacle at Pendrell Vale,Back to Nature,Mirri's Guile,"Thalia, Guardian of Thraben",Swords to Plowshares,Inquisition of Kozilek,Dack Fayden,Misty Rainforest
11,"Urborg, Tomb of Yawgmoth",Eternal Witness,Solitary Confinement,Spell Snare,Suppression Field,Underground Sea,Chromatic Lantern,Chord of Calling
12,Wasteland,Breeding Pool,Wild Growth,Annul,Moat,Force Spike,"Squee, Goblin Nabob",Glimpse of Nature
13,Unmask,Flooded Strand,Utopia Sprawl,Windswept Heath,Karmic Justice,Ral Zarek,Chrome Mox,Reclamation Sage
14,Hymn to Tourach,"Edric, Spymaster of Trest",Fertile Ground,Batterskull,Greater Auramancy,Misdirection,Tolarian Academy,Umezawa's Jitte
15,The Abyss,Stoneforge Mystic,City of Solitude,Skullclamp,Academy Rector,Scalding Tarn,Mox Diamond,Dryad Arbor
16,Nether Void,Counterspell,Elephant Grass,Ghost Quarter,Ghostly Prison,Polluted Delta,Tezzeret the Seeker,Progenitus
17,Trinisphere,Scavenging Ooze,Mesa Enchantress,Council's Judgment,Oblivion Ring,Volcanic Island,Grim Monolith,Nettle Sentinel
18,Innocent Blood,Remand,Privileged Position,Aven Mindcensor,Banishing Light,Daze,"Tamiyo, the Moon Sage",Heritage Druid
19,Toxic Deluge,Standstill,Ground Seal,Spirit of the Labyrinth,Journey to Nowhere,Mana Leak,"Tezzeret, Agent of Bolas",Wirewood Symbiote
20,Leyline of the Void,Vedalken Shackles,Verduran Enchantress,Thorn of Amethyst,Humility,Swan Song,Dig Through Time,Elvish Visionary
21,Helm of Obedience,Spellstutter Sprite,Words of Wilding,Pithing Needle,"Elspeth, Knight-Errant",Grafdigger's Cage,"Chandra, Pyromaster",Quirion Ranger
22,Mishra's Factory,Verdant Catacombs,Mana Bloom,Relic of Progenitus,"Elspeth, Sun's Champion",Imperial Seal,"Venser, the Sojourner",Birchlore Rangers
23,Mutavault,"Teferi, Mage of Zhalfir",Exploration,Path to Exile,Circle of Protection: Black,Bloodstained Mire,Mishra's Workshop,Llanowar Elves
