,Josh Ventura,Jesse Wilke,Charles Dupont,Nate Heiss,Peter Beckfield,Paul Waite,Steven Birklid,Jed Dolbeer
Wins,5,5,5,2,6,2,2,1
Losses,2,2,2,5,1,4,4,6
Date,2014-03-09,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Mox Ruby,Mana Crypt,Mox Jet,Strip Mine,Sol Ring
2,Stoneforge Mystic,"Jace, The Mind Sculptor",Mox Pearl,Library of Alexandria,Time Vault,Mox Emerald,Demonic Tutor,Mana Vault
3,Batterskull,Null Rod,Time Walk,"Thada Adel, Acquisitor",Tinker,Mana Drain,Vampiric Tutor,Tolarian Academy
4,Snapcaster Mage,Force of Will,Mystical Tutor,Counterspell,Painter's Servant,Show and Tell,Thoughtseize,Mishra's Workshop
5,Daze,Mind Twist,Channel,Mana Leak,Voltaic Key,Dark Ritual,Dark Confidant,tezzeret the seeker
6,Memory Lapse,Imperial Seal,Upheaval,Cryptic Command,Trinket Mage,Inquisition of Kozilek,Duress,Grim Monolith
7,Miscalculation,Entomb,Chrome Mox,Arcane Denial,Enlightened Tutor,Remand,Crucible of Worlds,Ancient Tomb
8,Ancestral Vision,Frantic Search,Rishadan Port,Timetwister,Spell Pierce,Reanimate,Bitterblossom,Tangle Wire
9,Mental Misstep,Griselbrand,Balance,Wheel of Fortune,Thirst for Knowledge,liliana of the veil,Smokestack,Wasteland
10,Forbid,Brainstorm,"Emrakul, the Aeons Torn","Kiki-Jiki, Mirror Breaker",Transmute Artifact,Bazaar of Baghdad,Hymn to Tourach,Winter Orb
11,Mox Diamond,Animate Dead,Regrowth,Gifts Ungiven,Goblin Welder,Exhume,Phyrexian Revoker,Chalice of the Void
12,Dismiss,Necromancy,Ponder,Intuition,Grindstone,Careful Study,Stony Silence,Lodestone Golem
13,Bribery,Compulsive Research,Windfall,Vendilion Clique,Negate,Pack Rat,Mesmeric Fiend,Pithing Needle
14,Swords to Plowshares,"Jin-Gitaxias, Core Augur",Misty Rainforest,Splinter Twin,Impulse,life // death,Polluted Delta,Trinisphere
15,Path to Exile,Goryo's Vengeance,Tropical Island,Pestermite,Isochron Scepter,"Iona, Shield of Emeria",Oblivion Ring,Flooded Strand
16,Scalding Tarn,Muddle the Mixture,Noble Hierarch,Body Double,Orim's Chant,Underground Sea,Verdant Catacombs,Tundra
17,Hallowed Fountain,Watery Grave,Windswept Heath,Volcanic Island,Ancient Grudge,Bloodstained Mire,Marsh Flats,Metalworker
18,Preordain,Leyline of the Void,Breeding Pool,Cascade Bluffs,Seat of the Synod,Darkslick Shores,Aven Mindcensor,City of Traitors
19,sword of feast and famine,Sunken Ruins,Eternal Witness,Deceiver Exarch,Reshape,Serum Visions,"Elspeth, Knight-Errant",Wooded Foothills
20,Geist of Saint Traft,"Elesh Norn, Grand Cenobite",Savannah,Goblin Matron,Ancient Den,Arid Mesa,Skullclamp,Steam Vents
21,Sower of Temptation,Buried Alive,Trygon Predator,Tolaria West,Myr Battlesphere,Force Spike,Weathered Wayfarer,Plateau
22,Mana Tithe,"Venser, Shaper Savant",Birds of Paradise,Saprazzan Skerry,City of Brass,Terastodon,Disenchant,Coalition Relic
23,Steel Sabotage,Ashen Rider,Voidslime,Pact of Negation,Sensei's Divining Top,Tidespout Tyrant,Tidehollow Sculler,Aura of Silence
24,Karakas,Woodfall Primus,Temple Garden,Sulfur Falls,Pentad Prism,Spell Snare,"braids, cabal minion",Shivan Reef
25,Seachrome Coast,Footsteps of the Goryo,Commandeer,Sandstone Needle,Grove of the Burnwillows,Sphinx of the Steel Wind,Land Tax,Azorius Signet
26,Gilded Drake,Gitaxian Probe,Annul,Zealous Conscripts,Sacred Foundry,Sundering Titan,Humility,Izzet Signet
27,Rest in Peace,Cabal Therapy,Garruk Wildspeaker,Breaching Hippocamp,Academy Ruins,Angel of Despair,Grafdigger's Cage,Magus of the Tabernacle
28,"Kataki, War's Wage",Echoing Truth,"Ulamog, the Infinite Gyre",Relic of Progenitus,Taiga,Lotus Petal,Lingering Souls,Moat
29,Hurkyl's Recall,Chain of Vapor,Mirari's Wake,Disrupt,Mindslaver,Sleight of Hand,Scrubland,Sphere of Resistance
30,Energy Flux,Mana Short,Mystic Snake,Goblin Vandal,Time Spiral,Dance of the Dead,Torpor Orb,Thorn of Amethyst
31,Detention Sphere,Darkwater Catacombs,Absorb,Opt,Fabricate,putrid imp,Castigate,Phyrexian Metamorph
32,Glen Elendra Archmage,Control Magic,Nature's Claim,Condescend,Gamble,Power Sink,Devout Witness,Sculpting Steel
33,Mystic Gate,Temple of Deceit,Flooded Grove,fire // ice,Battlefield Forge,Sadistic Sacrament,Vindicate,Mutavault
34,Phantasmal Image,Stitch Together,Celestial Colonnade,Red Elemental Blast,Faerie Macabre,Underground River,"Sorin, Lord of Innistrad",Mishra's Factory
35,"jace, architect of thought",Mental Note,Treetop Village,Pyroblast,Tendo Ice Bridge,Fact or Fiction,Godless Shrine,"Elspeth, Sun's Champion"
36,Restoration Angel,Magus of the Bazaar,Primeval Titan,Goblin Recruiter,Surgical Extraction,Cyclonic Rift,Fetid Heath,Steel Hellkite
37,Umezawa's Jitte,Worldgorger Dragon,Seal of Primordium,Chaos Warp,Boomerang,Makeshift Mannequin,Chains of Mephistopheles,Seal of Cleansing
38,Glacial Fortress,Ambassador Laquatus,Stomping Ground,Lightning Bolt,Great Furnace,Quicksilver Amulet,Orzhov Basilica,Tormod's Crypt
39,Temple of Enlightenment,Shallow Grave,Banefire,Peek,Silence,Innocent Blood,Dust Bowl,Armageddon
40,Serenity,Repeal,DIssolve,Manic Vandal,Ray of Revelation,Hero's Downfall,Doom Blade,Ravages of War
41,Banisher Priest,Merfolk Looter,Oxidize,Volition Reins,Karn Liberated,Breakthrough,Diabolic Edict,"Karn, Silver Golem"
42,Gideon Jura,Thought Courier,Temporal Spring,Moggcatcher,Argivian Restoration,Looter il-Kor,Caves of Koilos,Uba Mask
43,"Venser, the Sojourner",Doomed Necromancer,Precursor Golem,Izzet Charm,Chromatic Star,Maze of Ith,Stonecloaker,Ensnaring Bridge
44,Supreme Verdict,Recurring Nightmare,Naturalize,JUGGERNAUT,Memory Jar,Gruesome Encore,vault of the archangel,Ghostly Prison
45,man-o'-war,Enclave Cryptologist,Plow Under,Goblin Replica,Misdirection,Drowned Catacomb,zealous persecution,Purify the Grave
