,Josh Ventura,Jesse Wilke,Charles Dupont,Nate Heiss,Peter Beckfield,Paul Waite,Steven Birklid,Jed Dolbeer,,,,,,,,,,,,,,,,,
,5W - 2L,5W - 2L,5W - 2L,2W - 5L,6W - 1L,2W - 4L - 1D,2W - 4L - 1D,1W - 6L,,,,,,,,,,,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Mox Ruby,Mana Crypt,Mox Jet,Strip Mine,Sol Ring,>>>>,,,,,,,,,,,,,,,,
2,Stoneforge Mystic,"Jace, The Mind Sculptor",Mox Pearl,Library of Alexandria,Time Vault,Mox Emerald,Demonic Tutor,Mana Vault,<<<<,,,,,,,,,,,,,,,,
3,Batterskull,Null Rod,Time Walk,"Thada Adel, Acquisitor",Tinker,Mana Drain,Vampiric Tutor,Tolarian Academy,>>>>,,,,,,,,,,,,,,,,
4,Snapcaster Mage,Force of Will,Mystical Tutor,Counterspell,Painter's Servant,Show and Tell,Thoughtseize,Mishra's Workshop,<<<<,,,,,,,,,,,,,,,,
5,Daze,Mind Twist,Channel,Mana Leak,Voltaic Key,Dark Ritual,Dark Confidant,"Tezzeret, the Seeker",>>>>,,,,,,,,,,,,,,,,
6,Memory Lapse,Imperial Seal,Upheaval,Cryptic Command,Trinket Mage,Inquisition of Kozilek,Duress,Grim Monolith,<<<<,,,,,,,,,,,,,,,,
7,Miscalculation,Entomb,Chrome Mox,Arcane Denial,Enlightened Tutor,Remand,Crucible of Worlds,Ancient Tomb,>>>>,,,,,,,,,,,,,,,,
8,Ancestral Visions,Frantic Search,Rishadan Port,Timetwister,Spell Pierce,Reanimate,Bitterblossom,Tangle Wire,<<<<,,,,,,,,,,,,,,,,
9,Mental Misstep,Griselbrand,Balance,Wheel of Fortune,Thirst for Knowledge,Lilliana of the Veil,Smokestack,Wasteland,>>>>,,,,,,,,,,,,,,,,
10,Forbid,Brainstorm,"Emrakul, the Aeons Torn","Kiki-Jiki, Mirror Breaker",Transmute Artifact,Bazaar of Baghdad,Hymn to Tourach,Winter Orb,<<<<,,,,,,,,,,,,,,,,
11,Mox Diamond,Animate Dead,Regrowth,Gifts Ungiven,Goblin Welder,Exhume,Phyrexian Revoker,Chalice of the Void,>>>>,,,,,,,,,,,,,,,,
