,Harri J,Mongiello,Lewwwww,Omar,Maximus,Gedvilas,Luci,Chambers
Date,2010-08-06,,,,,,,
1,Ancestral Recall,Black Lotus,Yawgmoth's Will,Sol Ring,Library of Alexandria,Time Walk,Mishra's Workshop,Mana Crypt
2,Mind's Desire,Voltaic Key,Mox Jet,Time Vault,Mana Drain,Mox Ruby,Tolarian Academy,Mox Sapphire
3,Mox Pearl,Mana Vault,Demonic Tutor,Tezzeret the Seeker,Sensei's Divining Top,Goblin Welder,Trinisphere,Mox Emerald
4,Timetwister,Enlightened Tutor,Vampiric Tutor,Dark Confidant,Force of Will,Tangle Wire,Strip Mine,Tinker
5,Imperial Seal,Grim Monolith,Brainstorm,"Jace, the Mind Sculptor",Counterspell,Chalice of the Void,Crucible of Worlds,Gifts Ungiven
6,Mystical Tutor,Power Artifact,Windfall,Mind Twist,Fact or Fiction,Smokestack,Bazaar of Baghdad,Intuition
7,Tendrils of Agony,Muddle the Mixture,Necropotence,Hymn to Tourach,Thirst for Knowledge,Imperial Recruiter,Null Rod,Deep Analysis
8,Cabal Ritual,Tainted Pact,Frantic Search,Dark Ritual,Counterbalance,Grindstone,"Elspeth, Knight-Errant",Inkwell Leviathan
9,Lotus Petal,Impulse,Survival of the Fittest,Thoughtseize,Trinket Mage,Painter's Servant,Nether Void,Duress
10,Lim-Dûl's Vault,Upheaval,Underground Sea,Grim Tutor,Negate,Sundering Titan,Sphere of Resistance,Vendilion Clique
11,Mox Diamond,Spell Pierce,Tropical Island,Scroll Rack,Chrome Mox,Gush,Metalworker,Jace Beleren
12,Show and Tell,Fabricate,Skullclamp,Polluted Delta,Ancestral Vision,Fastbond,Ancient Tomb,Compulsive Research
13,"Emrakul, the Aeons Torn",Isochron Scepter,Gaddock Teeg,Yawgmoth's Bargain,Misdirection,Wheel of Fortune,"Karn, Silver Golem",Sylvan Library
14,Lotus Bloom,Orim's Chant,Entomb,Wasteland,Powder Keg,Misty Rainforest,Lodestone Golem,Life from the Loam
15,Lion's Eye Diamond,Memory Jar,Tarmogoyf,Flooded Strand,Nevinyrral's Disk,Grim Lavamancer,Balance,Regrowth
16,Personal Tutor,Stroke of Genius,Thopter Foundry,Glen Elendra Archmage,"Thada Adel, Acquisitor",Stifle,Armageddon,Eternal Witness
17,Merchant Scroll,Abeyance,Mesmeric Fiend,Academy Ruins,Annul,Phyrexian Dreadnought,Crop Rotation,Bayou
18,Daze,Mana Leak,Tundra,Watery Grave,Force Spike,Scalding Tarn,Krosan Grip,Breeding Pool
19,Ponder,Remand,Scrubland,Memory Lapse,Rootwater Thief,Volcanic Island,Glimmervoid,Trygon Predator
20,"Ulamog, the Infinite Gyre",Miscalculation,Windswept Heath,Mind Over Matter,Steam Vents,Aluren,Cephalid Coliseum,Verdant Catacombs
21,Mindslaver,Braingeyser,Marsh Flats,Inquisition of Kozilek,Pyroblast,Gorilla Shaman,Mishra's Factory,Overgrown Tomb
22,Snap,Meditate,Disrupt,Careful Consideration,Shivan Reef,Raven Familiar,City of Brass,Preordain
23,Seething Song,Auriok Salvagers,Twilight Mire,"Teferi, Mage of Zhalfir",Cascade Bluffs,fire // ice,Gemstone Mine,Tolaria West
24,Call to Mind,Coalition Relic,Mulldrifter,Bloodstained Mire,Red Elemental Blast,Serendib Efreet,Barbarian Ring,Rishadan Port
25,Rite of Flame,Argivian Find,Qasali Pridemage,Mind Stone,Logic Knot,Magma Jet,Knight of the Reliquary,Bitterblossom
26,Crumbling Necropolis,Time Spiral,Wooded Foothills,Sunken Ruins,Condescend,Cursed Scroll,The Tabernacle at Pendrell Vale,Pernicious Deed
27,Desperate Ritual,Acquire,Arid Mesa,Countersquall,Mindbreak Trap,Taiga,Ethersworn Canonist,Cryptic Command
28,Peer Through Depths,Turnabout,Dispel,Pithing Needle,Burnout,Engineered Explosives,City of Traitors,Flooded Grove
29,Manamorphose,High Tide,Mana Tithe,Hallowed Fountain,Spell Snare,Great Furnace,Dust Bowl,Wipe Away
30,Mana Short,Basalt Monolith,Birds of Paradise,Vault of Whispers,Predict,Seat of the Synod,Defense Grid,Control Magic
31,Pentad Prism,Bribery,Cold-Eyed Selkie,Ravages of War,Foreshadow,Cloud of Faeries,Phyrexian Processor,Dimir Infiltrator
32,Empty the Warrens,Azorius Signet,Noble Hierarch,Shadowmage Infiltrator,Augury Adept,Sea Drake,Suppression Field,Darksteel Colossus
33,Pact of Negation,Talisman of Progress,Arcane Denial,Portent,Izzet Signet,Izzet Boilerworks,Savannah,Sword of Fire and Ice
34,Serum Visions,Time Reversal,Stoneforge Mystic,Dimir Signet,Scroll Thief,Stomping Ground,Temple Garden,Spellstutter Sprite
35,Chain of Vapor,Diminishing Returns,Aether Vial,Dimir Cutpurse,Ophidian,Gamble,Icy Manipulator,"Urborg, Tomb of Yawgmoth"
36,Chromatic Star,Chromatic Sphere,Meddling Mage,Evolving Wilds,Terramorphic Expanse,Thran Dynamo,Jester's Cap,Night's Whisper
37,Diabolic Edict,Gainsay,Loyal Retainers,Castigate,Repeal,Worldly Tutor,All is Dust,"Venser, Shaper Savant"
38,Ad Nauseam,Back to Basics,Rune Snag,Godless Shrine,Jushi Apprentice // Tomoya the Revealer,Magus of the Unseen,Exploration,Vexing Shusher
39,Helm of Awakening,Silence,"Iona, Shield of Emeria",Underground River,Vedalken Shackles,Mystic Remora,Aura of Silence,Viridian Shaman
40,Badlands,Hurkyl's Recall,Standstill,Adarkar Wastes,Sower of Temptation,Careful Study,Wheel of Sun and Moon,Persecute
41,Tendo Ice Bridge,Copy Artifact,Gerrard's Verdict,Drowned Catacomb,Arcane Sanctum,Umezawa's Jitte,Dovescape,Carpet of Flowers
42,Mystical Teachings,Thawing Glaciers,Vindicate,Leyline of the Void,Swords to Plowshares,"Jaya Ballard, Task Mage",Rule of Law,Nature's Spiral
43,Reflecting Pool,Into the Roil,Tidehollow Sculler,Cunning Wish,Rewind,Anger,Harmonic Sliver,Phyrexian Arena
44,Divert,Pyrite Spellbomb,Fatestitcher,Mystic Gate,Exotic Orchard,Lightning Bolt,Glittering Wish,Putrefy
45,Sleight of Hand,Tarnished Citadel,Voidslime,Bad River,Absorb,Uba Mask,Elvish Hexhunter,Maelstrom Pulse
46,Burning Wish,Mana Flare,Elvish Spirit Guide,Flood Plain,Rack and Ruin,Compulsion,Thorn of Amethyst,River of Tears
47,Echoing Truth,Palinchron,"Kataki, War's Wage",Future Sight,Relic of Progenitus,Yavimaya Coast,Horizon Canopy,Lonely Sandbar
48,Vivid Creek,"Boseiju, Who Shelters All",Seaside Citadel,Solemn Simulacrum,Dissipate,Coiling Oracle,Staff of Domination,Barren Moor
49,Vivid Marsh,Rebuild,Earthcraft,Oblivion Ring,Faerie Trickery,Tree of Tales,Expedition Map,Tranquil Thicket
50,Vivid Crag,Dizzy Spell,Aven Mindcensor,Cataclysm,Forbid,Remote Isle,Mishra's Helix,Riptide Laboratory
51,Autumn's Veil,Ideas Unbound,Nature's Claim,Sift,Foil,Duplicant,Ghost Quarter,Dark Depths
52,Pyretic Ritual,Opportunity,Vivid Meadow,See Beyond,Ruination,Viashino Heretic,Tectonic Edge,Vampire Hexmage
53,Halimar Depths,Drift of Phantasms,Fetid Heath,Lat-Nam's Legacy,Thwart,Familiar's Ruse,Sculpting Steel,Volrath's Stronghold
54,Guttural Response,Terrarion,Glacial Fortress,Recoil,Treachery,Parasitic Strix,Cranial Plating,Shadow of Doubt
55,Damnation,Prophetic Prism,Path to Exile,Addle,Hinder,Cavern Harpy,Deserted Temple,Raven's Crime
56,Molten Slagheap,Serenity,Llanowar Wastes,Foresee,Complicate,Dream Stalker,Krark-Clan Ironworks,Distress
57,Dreadship Reef,Disenchant,Willbender,"Kozilek, Butcher of Truth",Trickbind,Bone Shredder,Disciple of the Vault,Sadistic Sacrament
58,Second Sunrise,Words of Wisdom,Cursecatcher,Dismantling Blow,Extract,Sakura-Tribe Elder,Razormane Masticore,Mirri's Guile
59,Darkwater Egg,Skycloud Egg,Diabolic Intent,Idyllic Tutor,Disrupting Shoal,Sedraxis Specter,Mold Shambler,Arcane Laboratory
60,Reshape,Candelabra of Tawnos,Jötun Grunt,Gigadrowse,Jace's Ingenuity,Ancestral Knowledge,Plow Under,crime // punishment
61,Kiln Fiend,Ethereal Usher,Ninja of the Deep Hours,Helm of Obedience,Mutavault,Crosis's Catacombs,Glowrider,Garruk Wildspeaker
62,Shadowblood Egg,Vision Skeins,Grasslands,Last Rites,Inspiration,Artifact Blast,Summer Bloom,Mystic Snake
63,Mossfire Egg,Transmute Artifact,Vesuva,Tombstalker,Liquify,Tangle,Gideon Jura,Shred Memory
64,Sungrass Egg,Stormtide Leviathan,Skeletal Scrying,Clutch of the Undercity,Prohibit,Bind,Hunting Grounds,Gigapede
65,Conjurer's Bauble,Trade Secrets,Fleshbag Marauder,Twincast,Faerie Conclave,Rushing River,Aura Mutation,Seeds of Innocence
